Titre,Date de publication,Journal
Analysis of how antigen mutations disrupt antibody binding interactions toward enabling rapid and reliable antibody repurposing.,2025 Dec,MAbs
Role of PD-1/PD-L1 signaling axis in oncogenesis and its targeting by bioactive natural compounds for cancer immunotherapy.,2024 Dec 18,Mil Med Res
"Smoking cessation and harm reduction: a systematic overview of ongoing, randomized controlled trials.",2024 Dec 17,BMC Psychiatry
Stereotactic body radiotherapy as metastasis-directed therapy in oligometastatic prostate cancer: a systematic review and meta-analysis of randomized controlled trials.,2024 Dec 17,Radiat Oncol
Barriers to establishing teledermatoscopy in primary health care in Sweden.,2024 Dec 17,BMC Prim Care
PI3K/mTOR Inhibitor VS-5584 Alters Expression of WNT Signaling Genes and Induces Apoptosis in Lung Adenocarcinoma Cells: In Vitro and In Silico Insight.,2024 Dec 17,Cell Biochem Biophys
Frailty transitions and associated factors in older cancer survivors in the USA: using a multi-state modeling.,2024 Dec 18,J Cancer Surviv
Profiling immune cell-related gene features and immunoregulatory ceRNA in ischemic stroke.,2024 Dec 18,Mol Biomed
Magnetic Sentinel Lymph Node Biopsy in Early Breast Cancer Patients: An Individual Patient Data Meta-analysis of Tracer Uptake.,2024 Dec 17,Ann Surg Oncol
"Comparison of Intratumoral and Peritumoral Deep Learning, Radiomics, and Fusion Models for Predicting KRAS Gene Mutations in Rectal Cancer Based on Endorectal Ultrasound Imaging.",2024 Dec 17,Ann Surg Oncol
ASO Visual Abstract: Management of the Uninvolved Uterus and Adnexa During Routine Pelvic Peritonectomy in Cytoreductive Surgery and Hyperthermic Intraperitoneal Chemotherapy Varies by Histology and Menopausal Status-An International Survey of Peritoneal Surface Malignancy Surgeons.,2024 Dec 17,Ann Surg Oncol
FGFR-Altered Urothelial Carcinoma: Resistance Mechanisms and Therapeutic Strategies.,2024 Dec 17,Target Oncol
Anti-inflammatory effect of nestorone in a lipopolysaccharide-induced acute lung injury model through regulation of the TLR-4/Myd88/NF-ÎºB signaling pathway.,2024 Dec 17,Inflammopharmacology
Development of amphiphilic self-assembled nucleolipid as BBB targeting probe based on SPECT.,2024 Dec 18,Discov Nano
"Efficacy and safety of the combination of envafolimab and lenvatinib in unresectable hepatocellular carcinoma: a single-arm, multicentre, exploratory phase II clinical study.",2024 Dec 17,Invest New Drugs
Predictive significance of MPT-driven necrosis-related genes signature in gastric cancer and their impact on the tumor microenvironment.,2024 Dec 17,Clin Transl Oncol
Comparative effectiveness totally endoscopic thyroidectomy via completely submental tri-hole approach and transoral endoscopic thyroidectomy without insufflation.,2024 Dec 17,Langenbecks Arch Surg
The role of the pathologist in the design and conducting of biomarker-driven clinical trials in cancer: position paper of the European Society of Pathology.,2024 Dec 17,Virchows Arch
Metformin lowers risk of hearing loss and mortality in type 2 diabetes.,2024 Dec 17,Diabetes Obes Metab
Deep profiling of gene expression across 18 human cancers.,2024 Dec 17,Nat Biomed Eng
Minimally invasive neurosurgery: application of burr-hole technique across a spectrum of brain lesions.,2024 Dec 18,Neurosurg Rev
Dual-energy CT for predicting serosal invasion in gastric cancer and subtype analysis.,2024 Dec 18,Abdom Radiol (NY)
A multimodal deep-learning model based on multichannel CT radiomics for predicting pathological grade of bladder cancer.,2024 Dec 18,Abdom Radiol (NY)
The impact of lymphedema severity on shoulder joint function and muscle activation patterns in breast cancer survivors: a cross-sectional study.,2024 Dec 17,Support Care Cancer
QSP modeling of a transiently inactivating antibody-drug conjugate highlights benefit of short antibody half life.,2024 Dec 17,J Pharmacokinet Pharmacodyn
